maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
814,8,5,5,4,123000,1,140,1,1969,3,5,7,1,3,20999,7,0
741,2,5,5,4,94751,1,55,0,1497,10,4,9,1,0,11250,11,0
697,8,5,5,5,26650,0,140,0,1968,4,8,2,1,0,35777,4,-1
349,8,2,5,5,16619,1,192,0,1477,28,7,2,1,0,32490,2,0
411,12,5,5,5,64989,1,120,0,1332,25,8,10,1,2,27400,5,0
656,10,4,3,5,10,0,100,1,2299,4,7,12,1,0,36950,0,0
376,3,5,4,2,26500,1,170,0,1998,25,5,9,1,3,28700,6,-1
254,18,5,6,4,158555,1,96,1,1995,4,8,12,1,0,23500,3,0
72,4,5,4,2,177000,1,140,0,1995,3,5,12,0,1,14990,8,-1
557,18,5,7,4,107838,1,140,0,2143,4,5,12,1,1,47480,5,0
457,12,5,5,4,26000,1,143,0,1950,4,8,1,1,3,38480,4,0
785,13,5,9,4,90000,1,62,1,1968,4,5,12,1,2,23880,5,0
688,13,5,5,5,29090,1,110,0,1498,20,7,7,4,0,26580,1,0
401,9,5,5,5,128198,0,120,1,2143,4,5,12,1,0,30821,6,0
188,2,3,5,4,0,0,74,1,999,13,7,1,1,0,20790,1,0
340,8,5,5,4,69900,1,114,0,2494,10,5,1,1,1,31780,5,0
752,12,5,5,5,17999,0,96,0,1498,21,5,7,4,0,29990,2,0
413,12,5,5,5,8974,1,118,0,1332,10,7,12,1,2,30335,2,0
496,8,5,5,4,34121,1,155,0,1991,17,8,1,1,3,36670,5,0
440,13,5,5,5,121770,1,130,0,2143,4,6,1,1,1,24450,5,0
598,12,5,5,4,70844,0,74,1,1399,16,5,1,1,0,10390,6,-1
410,12,5,5,4,81565,1,90,0,1595,16,5,7,1,3,16950,10,-2
690,8,5,7,4,15900,1,147,0,1968,4,8,6,1,1,41880,2,0
793,18,5,7,5,1430,1,110,0,1400,21,8,2,4,1,79990,1,-2
770,2,5,5,5,29511,1,81,1,999,16,7,7,1,0,17485,2,-1
23,3,5,4,2,65135,1,110,0,1498,16,8,12,1,0,28580,3,0
27,12,5,5,4,85050,1,210,0,2967,3,8,1,1,1,53990,4,0
608,13,5,5,4,104300,0,121,0,1490,18,5,7,1,0,18200,5,0
425,13,5,5,4,31000,1,135,0,1497,11,8,1,1,3,26990,5,0
752,12,5,5,5,22650,0,110,0,1498,20,8,2,1,2,26666,3,0
668,18,1,3,4,4600,1,110,1,2299,4,8,12,1,0,37450,1,-1
304,8,4,5,5,15,1,280,0,1995,20,7,1,1,1,77990,0,-3
698,13,5,5,4,176590,0,135,0,1968,3,5,1,1,3,18890,5,0
274,8,5,5,4,206264,1,128,1,2359,11,4,7,1,0,9950,12,0
