maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
426,13,5,5,5,24594,0,143,0,1950,4,8,7,0,3,35500,4,0
24,13,5,5,5,39261,1,150,0,1984,16,5,7,1,0,37770,2,0
492,8,1,5,5,27589,1,140,0,1950,3,5,10,1,5,46470,2,0
685,8,5,5,5,95722,0,110,1,1968,4,8,12,1,1,21950,4,0
661,18,5,5,4,48368,1,165,0,1798,16,5,1,1,1,25880,6,0
768,13,3,5,5,10,1,90,0,1968,3,7,7,1,0,36980,1,0
797,8,5,5,4,86000,1,210,0,2967,3,5,1,1,1,50950,5,0
27,13,5,5,5,74000,0,150,0,1968,4,7,1,1,3,41970,2,-1
279,13,5,5,5,72100,1,85,0,1598,21,7,7,4,0,17900,4,-1
312,2,5,5,5,30858,0,51,1,998,16,4,1,1,2,7750,10,0
26,4,5,5,4,150000,1,200,0,2967,4,5,1,1,1,26880,6,0
589,12,5,5,5,2500,0,116,0,1332,21,7,12,1,0,33990,1,0
23,12,2,5,5,7826,1,140,0,1984,20,7,12,1,0,37990,1,-2
84,13,5,5,5,94714,1,230,0,2993,4,5,9,1,3,28950,5,0
688,12,5,5,4,60550,0,96,1,1498,20,8,12,4,0,15680,4,-1
587,8,5,4,4,80000,1,140,1,2488,4,4,1,1,2,26880,8,0
611,8,5,5,4,6918,1,96,1,1199,18,7,7,4,3,25380,2,-1
751,2,5,4,2,135000,1,40,1,1198,16,3,1,1,0,2980,16,0
787,9,5,3,4,106317,1,110,1,1968,4,5,7,1,0,25450,5,0
655,12,1,4,4,14500,0,440,0,0,10,5,7,1,5,134900,0,0
160,12,5,5,5,34378,1,81,0,1199,20,5,12,1,0,13950,6,0
214,18,4,2,4,500,1,77,1,1598,4,7,12,1,0,24950,1,-1
95,13,5,5,5,80760,1,195,0,2993,4,8,1,1,1,34900,5,0
441,13,5,5,5,16991,1,118,0,1332,10,7,9,1,2,40885,3,0
317,8,4,5,5,15,1,195,0,1598,20,7,7,1,3,47950,0,-1
85,13,2,5,5,24748,0,250,0,2993,4,7,1,3,1,59890,1,0
425,12,5,5,4,40000,1,135,0,1991,16,5,10,1,1,25780,6,0
252,18,5,5,4,267000,1,74,1,1499,3,5,12,1,0,15999,6,0
433,12,5,5,4,49214,1,287,0,2996,16,8,1,1,1,49740,3,0
254,18,5,3,4,40874,1,96,1,2000,4,8,12,1,0,31980,2,1
21,2,2,5,5,6106,1,81,0,1000,21,7,12,1,0,26890,1,-2
687,12,5,5,4,57000,1,55,1,999,16,5,2,1,0,12680,5,0
117,8,5,5,5,82259,1,141,0,1998,20,5,1,4,3,27900,5,0
798,18,1,5,5,22000,1,110,0,1968,4,7,7,1,0,41890,1,-2
752,13,5,5,5,20790,0,110,0,2000,4,7,7,0,0,27900,2,0
26,3,5,4,3,21894,1,140,0,1968,4,5,12,1,1,34990,5,0
770,2,5,5,5,6500,1,70,1,999,21,7,1,1,0,21997,1,-2
401,5,5,2,5,140065,0,220,0,7698,4,5,2,1,0,87441,7,1
794,8,5,5,5,3000,1,81,0,999,20,7,12,1,0,26990,0,0
614,18,4,3,5,10,1,103,1,2179,4,7,12,1,0,35850,1,0
608,13,5,5,5,67754,0,154,0,1956,4,8,12,1,1,25750,4,0
748,18,5,5,5,20,1,84,1,1498,20,7,1,1,0,30990,0,0
732,13,5,5,5,31702,1,132,0,1987,10,8,7,5,3,28990,3,0
23,12,5,5,5,53214,0,110,0,1498,16,5,9,1,1,26970,5,0
697,8,5,5,5,74900,0,140,0,1968,4,7,12,1,1,36890,4,0
547,3,5,2,2,107444,1,135,0,1796,16,4,1,1,1,19950,12,-1
787,18,5,9,4,38200,0,81,1,1968,3,8,12,1,0,32900,3,-1
241,8,5,5,4,50000,1,129,0,1498,16,5,1,1,5,22999,4,-1
607,8,5,5,5,73600,1,96,0,1499,4,8,1,1,3,18840,4,0
87,3,3,4,2,0,1,135,0,1998,27,7,12,2,1,64750,1,0
752,12,5,5,5,56000,1,110,1,1498,20,8,2,1,0,22930,5,0
430,12,5,5,4,47330,1,143,0,1950,10,8,1,1,2,38835,3,0
697,8,5,5,4,158000,1,110,0,1968,3,5,2,1,0,20399,6,-1
775,8,5,5,5,502,0,81,1,999,20,7,1,5,2,25190,2,0
325,3,3,2,2,47,1,470,0,5204,20,5,7,1,1,349900,1,0
495,4,5,5,5,97013,1,125,0,2143,4,5,1,1,1,39680,6,0
746,3,5,4,2,110860,1,77,0,1197,11,5,4,1,0,16900,7,0
32,8,5,5,4,32120,1,110,0,1498,25,7,1,1,1,32790,2,-1
188,2,3,5,4,0,0,74,1,999,13,7,8,1,0,20290,1,0
558,18,5,6,4,128831,1,176,0,1950,3,5,12,1,1,63990,3,0
103,12,5,5,4,123000,1,195,0,2993,4,5,7,1,1,37480,7,0
331,8,5,4,2,154234,1,140,0,2179,3,5,12,5,1,22490,10,0
662,17,3,2,4,0,0,75,1,1333,21,7,12,1,0,21699,1,0
88,4,5,5,5,38524,0,185,0,1998,20,5,7,1,1,34890,4,1
608,13,5,5,5,51496,1,125,1,1956,4,8,2,1,3,18880,3,0
794,8,1,5,5,12000,0,110,0,1498,21,7,9,1,0,30997,1,0
91,13,5,5,5,159843,1,140,0,1995,4,8,10,1,0,23950,4,0
746,3,5,4,2,46700,1,130,0,1995,11,5,12,1,1,31399,4,-1
620,10,3,3,4,10,0,103,1,1968,4,7,12,1,0,46448,1,0
697,8,5,5,5,64000,0,140,0,1968,4,8,1,1,1,39970,3,0
243,3,5,4,2,79422,0,147,0,4735,11,5,9,1,1,16900,-43,0
696,8,5,5,5,28950,1,110,0,1968,4,7,12,1,0,36475,1,0
768,13,2,5,5,25975,0,110,0,1968,4,7,2,1,2,37890,1,0
32,8,4,5,5,5,1,110,0,1498,21,8,12,1,3,39970,0,-3
757,18,5,5,5,87800,1,81,0,1197,20,5,7,1,0,14689,8,0
71,3,5,4,2,45000,1,100,1,1499,11,5,12,1,1,25780,5,0
441,13,5,5,5,7717,1,118,0,1332,10,7,7,1,2,40745,2,0
0,8,3,2,2,44225,1,6,0,479,3,5,12,1,0,15799,1,0
462,3,5,4,2,96857,1,180,0,1950,4,8,7,1,1,42880,4,0
675,2,5,4,4,86200,1,52,1,999,11,6,10,1,0,9280,4,0
569,8,5,7,4,50000,1,110,0,2268,4,5,7,1,1,22880,7,0
819,4,5,2,3,19910,1,52,0,999,16,6,7,1,0,15485,4,0
668,18,4,3,5,10,1,100,1,2299,4,7,12,1,0,36350,0,0
91,13,5,5,4,74981,1,140,0,1995,3,6,1,1,3,29499,4,-1
583,12,5,5,4,130000,1,48,1,1240,11,3,10,1,0,3450,18,0
495,8,5,5,4,106079,1,125,0,2143,4,5,10,1,2,26880,7,0
598,13,5,5,4,68990,0,100,0,1598,3,8,1,1,0,15550,4,0
787,13,5,9,4,100000,1,110,1,1968,3,8,7,1,0,32713,4,-1
313,12,4,5,5,15,1,118,0,1482,20,7,7,1,1,33990,0,-1
440,13,5,5,5,152040,1,125,0,2143,4,6,7,1,1,23750,5,0
321,8,4,5,5,15,1,118,0,1482,20,7,1,1,3,29490,0,-1
818,12,5,4,5,49500,1,52,0,999,25,5,12,1,0,11990,6,0
419,12,5,5,4,157590,0,85,0,1461,3,7,1,1,1,16990,3,0
758,13,5,5,5,95455,1,110,0,1968,4,5,1,1,0,18990,3,0
760,12,5,4,4,19750,0,150,0,1968,10,7,7,4,0,37888,2,0
430,13,5,5,5,133506,1,180,0,1950,4,8,1,1,3,27950,4,0
798,18,5,5,5,118847,1,110,0,1968,4,8,12,1,0,25950,4,-1
591,17,3,2,4,0,0,90,0,0,10,5,12,1,0,40490,1,0
589,12,3,5,5,0,0,116,0,1497,21,7,12,1,0,37690,1,0
651,8,1,4,5,890,1,471,0,3996,21,7,7,1,1,234889,0,-3
27,12,5,5,4,170420,1,180,0,2967,3,4,2,1,0,13990,11,0
91,12,3,5,4,0,0,135,0,1998,21,7,7,5,0,51500,1,0
191,4,5,5,2,26477,1,362,0,6417,11,5,11,1,1,42922,2,-1
